country,population_growth,gdp_growth_rate,recent_population,recent_gdp_growth_rate,population_bucket
St. Vincent and the Grenadines,2.25,1.41,110210,2.38,5
North Macedonia,2.46,-1.67,2076217,1.12,10
Dominica,2.84,1.21,71626,1.99,5
Montenegro,2.86,1.98,622227,5.08,5
Syrian Arab Republic,3.26,0.8,16945062,2.37,15
Nauru,3.32,6.1,10678,4.39,5
Bermuda,3.37,-9.75,63918,2.04,5
Czech Republic,3.66,-0.8,10629928,1.09,15
Lesotho,3.72,-5.1,2108327,-1.88,10
Uruguay,3.9,2.41,3449290,7.2,10
Slovenia,4.27,0.75,2073894,2.43,10
Guyana,4.32,5.8,779007,4.44,5
"Micronesia, Fed. Sts.",4.87,-4.62,112640,4.75,5
Tonga,5.35,-0.58,103199,0.3,5
Barbados,5.57,-5.47,286640,6.6,5
Kosovo,5.71,3.41,1797085,5.27,10
Italy,6.11,-2.86,60421760,0.93,15
Finland,6.56,-4.63,5515525,1.87,10
Mauritius,6.61,-4.44,1265303,3.57,10
Guam,6.73,-0.72,165770,-6.24,5
Netherlands,8.2,-1.83,17231624,1.06,15
Grenada,8.37,-0.53,111449,1.28,5
Denmark,8.5,-1.76,5793636,4.77,10
Fiji,8.94,5.51,883490,3.81,5
El Salvador,9.05,1.3,6420740,5.31,10
Isle of Man,9.27,-3.09,84073,4.89,5
Trinidad and Tobago,9.68,-7.61,1389841,-0.71,10
"Korea, Rep.",9.74,-6.15,51585058,7.47,15
France,10.16,-2.06,67101930,0.21,15
Thailand,10.29,-0.23,69428454,7.6,15
Austria,10.35,-0.87,8840521,2.5,10
Jamaica,10.55,1.01,2934853,1.89,10
China,11.1,-1.74,1402760000,-4.81,20
Belgium,11.47,-1.87,11427054,7.32,15
"Hong Kong SAR, China",11.82,-4.82,7452600,1.67,10
Samoa,12.42,-6.33,196128,1.23,5
United Kingdom,12.85,-2.02,66460344,5.35,15
Eswatini,13.01,0.62,1136274,6.82,10
Sweden,14.69,-2.82,10175214,1.48,15
Myanmar,14.96,-6.01,53708318,4.53,15
Marshall Islands,15.09,2.22,58412,8.12,5
Spain,15.36,-2.96,46797754,4.95,15
French Polynesia,15.37,-2.26,277673,0.84,5
Sri Lanka,15.4,-2.73,21670000,3.79,15
United States,15.83,-1.16,326838199,3.05,20
St. Lucia,16.05,2.88,181890,1.95,5
Aruba,16.49,-6.35,105846,6.88,5
Nepal,17.35,1.42,28095712,4.84,15
Andorra,17.77,-1.94,77008,-1.32,5
Norway,18.28,-2.09,5311916,7.62,10
Switzerland,18.51,-1.06,8514329,5.61,10
St. Kitts and Nevis,18.95,-7.37,52438,4.42,5
Curacao,19.03,-2.17,159336,5.69,5
Tunisia,19.13,-2.09,11565203,2.62,15
Seychelles,19.27,1.68,96762,-2.68,5
Vietnam,19.57,0.41,95545959,3.41,15
Brazil,19.84,-2.6,209469320,-1.03,20
Monaco,20.32,2.05,38682,6.03,5
Argentina,20.68,-1.83,44494502,-2.62,15
Canada,20.79,-2.14,37065084,3.99,15
Peru,20.9,1.27,31989265,3.97,15
Zimbabwe,21.52,7.88,14438812,4.82,15
Chile,22.07,-0.98,18729166,5.82,15
Suriname,22.3,2.85,575987,3.2,5
Tuvalu,22.5,2.72,11505,6.3,5
Kazakhstan,22.8,-5.7,18276452,4.1,15
San Marino,23.03,-0.69,33784,1.74,5
Azerbaijan,23.5,-9.6,9939771,1.5,10
Malta,24.24,-13.65,484630,3.2,5
Libya,24.65,4.26,6678565,7.94,10
"Iran, Islamic Rep.",24.65,-8.1,81800204,9.03,15
Morocco,25.13,1.24,36029089,7.74,15
Colombia,25.31,-0.36,49661056,2.56,15
Iceland,25.43,-0.09,352721,5.17,5
Dominican Republic,25.45,2.32,10627147,6.98,15
Cyprus,26.08,-0.27,1189262,3.2,10
Costa Rica,26.17,-1.25,4999443,2.25,10
Bangladesh,26.41,2.03,161376713,6.7,20
Indonesia,26.55,0.25,267670549,6.45,20
Antigua and Barbuda,26.68,0.68,96282,1.19,5
Cabo Verde,26.99,-9.75,543764,3.79,5
New Zealand,27.03,0.45,4900600,7.21,10
Nicaragua,27.54,-7.47,6465502,1.92,10
Mexico,27.59,-2.75,126190782,2.88,20
Bhutan,27.64,-0.3,754396,-0.43,5
Ireland,27.91,-0.37,4867316,2.63,10
India,28.02,2.61,1352642283,2.21,20
Central African Republic,28.18,6.28,4666375,6.89,10
South Africa,28.52,-2.71,57792520,2.95,15
Brunei Darussalam,28.75,-2.8,428960,0.05,5
Kyrgyz Republic,29.08,-1.69,6322800,2.91,10
"Bahamas, The",29.39,-2.32,385635,1.61,5
Turkmenistan,29.56,0.73,5850902,1.75,10
Turkiye,30.2,-3.95,82340090,2.98,15
Australia,30.44,-1.04,24982688,2.87,15
Paraguay,30.67,5.52,6956069,3.69,10
Haiti,31.42,0.8,11123183,2.85,15
Mongolia,32.23,6.6,3170214,6.4,10
Lao PDR,32.64,0.45,7061498,2.43,10
Djibouti,33.63,4.77,958923,3.55,5
Cambodia,33.69,-2.52,16249795,2.78,15
Uzbekistan,33.69,1.52,32956100,2.9,15
Sint Maarten (Dutch part),34,-6.6,40895,3.94,5
Ecuador,34.72,0.2,17084359,1.1,15
Bolivia,34.86,1.72,11353140,4.22,15
Malaysia,35.93,-4.02,31528033,6.46,15
Algeria,36.04,-2.7,42228415,1.19,15
Namibia,36.43,-2.43,2448300,3.76,10
Philippines,36.75,1.96,106651394,6.34,20
Botswana,37.16,1.99,2254067,1.78,10
Kiribati,37.25,-0.98,115842,3.76,5
Panama,37.84,0.97,4176868,1.29,10
Luxembourg,39.34,-4.93,607950,2.93,5
Singapore,39.99,-5.38,5638676,3.66,10
Guatemala,41.05,-0.29,16346950,4.36,15
Israel,41.24,-4.91,8882800,3.98,10
"Egypt, Arab Rep.",42.99,-1.06,98423602,1.29,15
Timor-Leste,43.38,-0.69,1267975,6.2,10
Honduras,45.83,-3.45,9587523,3.84,10
Tajikistan,46.4,-0.73,9100847,4.98,10
Papua New Guinea,47.18,2.22,8606324,6.15,10
"Macao SAR, China",47.66,0.72,631633,3.27,5
Sao Tome and Principe,48.34,2.95,211032,1.23,5
Pakistan,49.1,1.89,212228288,3.36,20
Guinea,50.65,3.86,12414292,3.32,15
Cayman Islands,51.69,4.27,64172,6.75,5
Cote d'Ivoire,52.35,7.16,25069226,-2.17,15
Sudan,53.26,-9.03,41801532,-6.6,15
Comoros,53.46,-7.21,832322,3.64,5
Ghana,54.4,2.5,29767108,7.23,15
Belize,54.9,-10.97,383071,2.11,5
Rwanda,55.06,0.21,12301969,3.2,15
Guinea-Bissau,56.02,-4.14,1874304,-0.72,10
West Bank and Gaza,56.36,9.78,4569087,0.75,10
Vanuatu,58.23,-3.02,292675,-1.23,5
Nigeria,60.18,-3.09,195874685,2.36,20
Togo,60.2,5.76,7889095,-0.69,10
Kenya,60.78,5.05,51392570,5.65,15
Senegal,61.82,2.32,15854324,2.51,15
Cameroon,62.54,0.12,25216261,2.92,15
Malawi,62.74,2.82,18143215,2,15
Saudi Arabia,63.1,-3.11,33702757,8.58,15
Iraq,63.56,-14.29,38433604,-2.25,15
"Yemen, Rep.",63.7,-5.43,28498683,1.49,15
Ethiopia,64.93,0.74,109224410,1.14,20
Mozambique,66.53,2.26,29496009,3.44,15
Madagascar,66.57,-1.26,26262313,-1.22,15
Zambia,66.59,0.14,17351714,4.03,15
Sierra Leone,66.87,-3.19,7650149,6.21,10
