country,population_growth,recent_population
Jordan,94.54,9965322
Angola,87.92,30809787
Turks and Caicos Islands,86.74,37667
Chad,85.24,15477727
Maldives,84.58,515704
Uganda,80.67,42729032
Afghanistan,78.88,37171922
Lebanon,78.5,6859408
"Congo, Dem. Rep.",78.47,84068092
Burundi,75.19,11175379
Mali,74.28,19077755
"Gambia, The",73.03,2280092
Gabon,72.53,2119275
Burkina Faso,70.15,19751466
Liberia,69.18,4818976
Somalia,69.16,15008225
Tanzania,68.1,56313444
"Congo, Rep.",67.69,5244363
Mauritania,67.41,4403312
Benin,67.28,11485035
Sierra Leone,66.87,7650149
Zambia,66.59,17351714
Madagascar,66.57,26262313
Mozambique,66.53,29496009
Ethiopia,64.93,109224410
"Yemen, Rep.",63.7,28498683
Iraq,63.56,38433604
Saudi Arabia,63.1,33702757
Malawi,62.74,18143215
Cameroon,62.54,25216261
Senegal,61.82,15854324
Kenya,60.78,51392570
Togo,60.2,7889095
Nigeria,60.18,195874685
Vanuatu,58.23,292675
West Bank and Gaza,56.36,4569087
Guinea-Bissau,56.02,1874304
Rwanda,55.06,12301969
Belize,54.9,383071
Ghana,54.4,29767108
Comoros,53.46,832322
Sudan,53.26,41801532
Cote d'Ivoire,52.35,25069226
Cayman Islands,51.69,64172
Guinea,50.65,12414292
Pakistan,49.1,212228288
Sao Tome and Principe,48.34,211032
"Macao SAR, China",47.66,631633
Papua New Guinea,47.18,8606324
Tajikistan,46.4,9100847
Honduras,45.83,9587523
Timor-Leste,43.38,1267975
"Egypt, Arab Rep.",42.99,98423602
Israel,41.24,8882800
Guatemala,41.05,16346950
Singapore,39.99,5638676
Luxembourg,39.34,607950
Panama,37.84,4176868
Kiribati,37.25,115842
Botswana,37.16,2254067
Philippines,36.75,106651394
Namibia,36.43,2448300
Algeria,36.04,42228415
Malaysia,35.93,31528033
Bolivia,34.86,11353140
Ecuador,34.72,17084359
Sint Maarten (Dutch part),34,40895
Cambodia,33.69,16249795
Uzbekistan,33.69,32956100
Djibouti,33.63,958923
Lao PDR,32.64,7061498
Mongolia,32.23,3170214
Haiti,31.42,11123183
Paraguay,30.67,6956069
Australia,30.44,24982688
Turkiye,30.2,82340090
Turkmenistan,29.56,5850902
"Bahamas, The",29.39,385635
Kyrgyz Republic,29.08,6322800
Brunei Darussalam,28.75,428960
South Africa,28.52,57792520
Central African Republic,28.18,4666375
India,28.02,1352642283
Ireland,27.91,4867316
Bhutan,27.64,754396
Mexico,27.59,126190782
Nicaragua,27.54,6465502
New Zealand,27.03,4900600
Cabo Verde,26.99,543764
Antigua and Barbuda,26.68,96282
Indonesia,26.55,267670549
Bangladesh,26.41,161376713
Costa Rica,26.17,4999443
Cyprus,26.08,1189262
Dominican Republic,25.45,10627147
Iceland,25.43,352721
Colombia,25.31,49661056
Morocco,25.13,36029089
Libya,24.65,6678565
"Iran, Islamic Rep.",24.65,81800204
Malta,24.24,484630
Azerbaijan,23.5,9939771
San Marino,23.03,33784
Kazakhstan,22.8,18276452
Tuvalu,22.5,11505
Suriname,22.3,575987
Chile,22.07,18729166
Zimbabwe,21.52,14438812
Peru,20.9,31989265
Canada,20.79,37065084
Argentina,20.68,44494502
Monaco,20.32,38682
Brazil,19.84,209469320
Vietnam,19.57,95545959
Seychelles,19.27,96762
Tunisia,19.13,11565203
Curacao,19.03,159336
St. Kitts and Nevis,18.95,52438
Switzerland,18.51,8514329
Norway,18.28,5311916
Andorra,17.77,77008
Nepal,17.35,28095712
Aruba,16.49,105846
St. Lucia,16.05,181890
United States,15.83,326838199
Sri Lanka,15.4,21670000
French Polynesia,15.37,277673
Spain,15.36,46797754
Marshall Islands,15.09,58412
Myanmar,14.96,53708318
Sweden,14.69,10175214
Eswatini,13.01,1136274
United Kingdom,12.85,66460344
Samoa,12.42,196128
"Hong Kong SAR, China",11.82,7452600
Belgium,11.47,11427054
China,11.1,1402760000
Jamaica,10.55,2934853
Austria,10.35,8840521
Thailand,10.29,69428454
France,10.16,67101930
"Korea, Rep.",9.74,51585058
Trinidad and Tobago,9.68,1389841
Isle of Man,9.27,84073
El Salvador,9.05,6420740
Fiji,8.94,883490
Denmark,8.5,5793636
Grenada,8.37,111449
Netherlands,8.2,17231624
Guam,6.73,165770
Mauritius,6.61,1265303
Finland,6.56,5515525
Italy,6.11,60421760
Kosovo,5.71,1797085
Barbados,5.57,286640
Tonga,5.35,103199
"Micronesia, Fed. Sts.",4.87,112640
Guyana,4.32,779007
Slovenia,4.27,2073894
Uruguay,3.9,3449290
Lesotho,3.72,2108327
Czech Republic,3.66,10629928
Bermuda,3.37,63918
Nauru,3.32,10678
Syrian Arab Republic,3.26,16945062
Montenegro,2.86,622227
Dominica,2.84,71626
North Macedonia,2.46,2076217
St. Vincent and the Grenadines,2.25,110210
